Country,Sector,Indicator,Definition,Unit,References
European Union,Transport: Road,Road transport biofuel/electrification,Biofuels and electrification in road transport,% biofuels or electric,"Min: 
European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/docs/pages/com_2018_733_analysis_in_support_en_0.pdf

Max: 
IEA- World Energy Outlook 2018 - World Energy Balances 2018"
European Union,Transport: Road,EV market shares,Share of EVs in total new sales of LDVs per year. ,% of LDVs sold / year,EV Policy Tool - New Climate Institute - https://newclimate.org/2018/11/30/policy-tool-ev/
European Union,Transport: Aviation,Aviation biofuel intensity,Biofuels and electrification in aviation,% biofuels or electric.,"European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/strategies/2050/docs/long-term_analysis_in_depth_analysis_figures_20190722_en.pdf

Figure 52 - page 48- Baseline Scenario"
European Union,Transport: Aviation,Aviation activity,Passenger flux per capita,pkm / cap,"Global Transportation Roadmap Model, August 2017 version. http://www.theicct.org/global-transportation-roadmap-model (International Council on Clean Transportation, 2017)."
European Union,Buildings,Buildings activity (residential),Residential building area per capita,m² / cap,"International Energy Agency (2013) Transition to Sustainable Buildings. Strategies and Opportunities to 2050. p. 74, Table 2.4.1. Link: https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2013.pdf"
European Union,Buildings,Buildings activity (commercial),Commercial building area per capita,m² / cap,"International Energy Agency (2013) Transition to Sustainable Buildings. Strategies and Opportunities to 2050. p. 74, Table 2.4.1. Link: https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2013.pdf"
European Union,Buildings,Buildings emissions intensity (residential),CO2 emissions per residential building area,kg CO2 / m²,"IEA - Sustainble Buildings - 2013 (for building activity data) and 
emissions projections taken from European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/docs/pages/com_2018_733_analysis_in_support_en_0.pdf
"
European Union,Buildings,Buildings emissions intensity (commercial),CO2 emissions per commercial building area,kg CO2 / m²,"IEA - Sustainble Buildings - 2013 (for building activity data) and 
emissions projections taken from European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/docs/pages/com_2018_733_analysis_in_support_en_0.pdf
"
European Union,Buildings,Buildings emissions intensity (per capita),Total building CO2 emissions per capita,t CO2 / cap,"Emissions based on EEA 2018 Trends and Projections p70 - https://www.eea.europa.eu/publications/trends-and-projections-in-europe-2018-climate-and-energy/trends-and-projections-in-europe-2018-climate-and-energy/viewfile#pdfjs.action=download

Population based on United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
European Union,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"Emissions: EEA2018 - EU Data Viewer 

Min: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision.

Max: Eurostat POP 2019 - https://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=proj_18np&lang=en"
European Union,Macro,Primary energy demand per capita,Primary energy demand per capita,GJ (primary) / cap,"Eurostat (2019). Link: http://ec.europa.eu/eurostat/web/population-demography-migration-projections/population-projections-/database.

European Commission (2016). EU Reference Scenario 2016. Link: http://ec.europa.eu/energy/en/data-analysis/energy-modelling

IEA, Energy Balances (2018).

United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
European Union,Macro,Final energy demand per capita,Final energy demand per capita,GJ (final) / cap,"Eurostat (2019). Link: http://ec.europa.eu/eurostat/web/population-demography-migration-projections/population-projections-/database.

European Commission (2016). EU Reference Scenario 2016. Link: http://ec.europa.eu/energy/en/data-analysis/energy-modelling

IEA, Energy Balances (2018).

United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
European Union,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,"Emissions: EEA2018 - EU Data Viewer - https://www.eea.europa.eu/data-and-maps/data/data-viewers/greenhouse-gases-viewer

Min: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision.

Max: Eurostat POP 2019 - https://appsso.eurostat.ec.europa.eu/nui/show.do?dataset=proj_18np&lang=en"
European Union,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Emissions: EEA2018 - EU Data Viewer - https://www.eea.europa.eu/data-and-maps/data/data-viewers/greenhouse-gases-viewer

World Bank (2017). http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD

European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/docs/pages/com_2018_733_analysis_in_support_en_0.pdf"
European Union,Macro,Primary energy intensity of GDP,Primary energy demand per GDP,TJ (primary) / mln. USD2012 (PPP),"European Commission (2016). EU Reference Scenario 2016. Link: http://ec.europa.eu/energy/en/data-analysis/energy-modelling

IEA, Energy Balances (2018).

World Bank (2017). http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD"
European Union,Macro,Final energy intensity of GDP,Final energy demand per GDP,TJ (primary) / mln. USD2012 (PPP),"European Commission (2016). EU Reference Scenario 2016. Link: http://ec.europa.eu/energy/en/data-analysis/energy-modelling

IEA, Energy Balances (2018).

World Bank (2017). http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD"
European Union,Macro,Emissions intensity of energy,Energy-related CO2 emissions per unit primary energy demand,t CO2 / TJ (primary),"European Commission (2016). EU Reference Scenario 2016. Link: http://ec.europa.eu/energy/en/data-analysis/energy-modelling

IEA, Energy Balances (2018).

IEA. WEO2018. "
European Union,Macro,Coal share in Primary Energy,Share of coal in the total primary energy supply. ,%,"IEA - WEO2018 https://www.iea.org/weo2018/ 

Interpolation for 2020 data "
European Union,Macro,Total GHG emissions from buildings,Total greenhouse gas emissions from the building sector,Mt CO2e,"Max: EEA 2018 Trends and Projections p70 - https://www.eea.europa.eu/publications/trends-and-projections-in-europe-2018-climate-and-energy/trends-and-projections-in-europe-2018-climate-and-energy/viewfile#pdfjs.action=download

Min: LTS2050 slide 11"
European Union,Macro,Total GHG emissions from transport,Total greenhouse gas emissions from the transport sector,Mt CO2e,"Min: EEA 2018 Trends and Projections p70 - https://www.eea.europa.eu/publications/trends-and-projections-in-europe-2018-climate-and-energy/trends-and-projections-in-europe-2018-climate-and-energy/viewfile#pdfjs.action=download

Max: LTS2050 slides 11 and 12"
European Union,Macro,Total GHG emissions from industry,Total greenhouse gas emissions from industry,Mt CO2e,"EC LTS 2050 Industrial Innovation: Pathways to deep decarbonisation of Industry. Part 2: Scenario analysis and pathways to deep decarbonisation. https://ec.europa.eu/clima/sites/clima/files/strategies/2050/docs/industrial_innovation_part_2_en.pdf
Max : Reference Scenario 
Min : BAT Scenario"
European Union,Macro,Total GHG emissions from Agriculture,Total greenhouse gas emissions from agriculture,Mt CO2e,"Max: EEA 2018 Trends and Projections p70 - https://www.eea.europa.eu/publications/trends-and-projections-in-europe-2018-climate-and-energy/trends-and-projections-in-europe-2018-climate-and-energy/viewfile#pdfjs.action=download

Min : LTS2050 - page 11 and 12"
European Union,Macro,Total GHG emissions from Waste,"Total greenhouse gas emissions from waste, measured per capita.",Mt CO2e,"Max: EEA 2018 Trends and Projections p70 - https://www.eea.europa.eu/publications/trends-and-projections-in-europe-2018-climate-and-energy/trends-and-projections-in-europe-2018-climate-and-energy/viewfile#pdfjs.action=download

Min : LTS2050 - page 11 and 12"
European Union,Macro,Oil share in Primary Energy,Share of oil in the total primary energy supply. ,%,"IEA - WEO2018 https://www.iea.org/weo2018/ 

Interpolation for 2020 data "
European Union,Macro,Gas share in Primary Energy,Share of gas in the total primary energy supply. ,%,"IEA - WEO2018 https://www.iea.org/weo2018/ 

Interpolation for 2020 data "
European Union,Macro,Nuclear share in Primary Energy,Share of nuclear in the total primary energy supply. ,%,"IEA - WEO2018 https://www.iea.org/weo2018/ 

Interpolation for 2020 data "
European Union,Macro,Renewable share in Primary Energy,Share of renewables in the total primary energy supply (excluding hydro power).,%,"IEA - WEO2018 https://www.iea.org/weo2018/ 

Interpolation for 2020 data "
European Union,Macro,Hydro share in Primary Energy,Share of Hydro in the total primary energy supply.,%,"IEA - WEO2018 https://www.iea.org/weo2018/ 

Interpolation for 2020 data "
India,Industry: Cement,Cement activity,Amount of cement produced per capita,t product / cap,"Cement Production: 
IEA (Forthcoming), Technology Roadmap Low-Carbon Transition in the Indian Cement Industry, values obtained directly from IEA prior to publishing.

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
India,Industry: Steel,Steel activity,Amount of steel produced per capita,t product / cap,"Steel Production: 
World Steel Association (2017). Table 1. Total production of crude steel. https://www.worldsteel.org/en/dam/jcr:3e275c73-6f11-4e7f-a5d8-23d9bc5c508f/Steel+Statistical+Yearbook+2017.pdf

Karthykeyan, D., Abraham, A., Paraparakath, S. & Bhattacharya,A. (n.d.). Forecasting Steel Demand and Supply in India. Figure 2. Link: https://athenainfonomics.in/assets/Steel%20Forecasting.pdf

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
India,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"Electricity demand
International Energy Agency (2017). World Energy Outlook 2017.

International Energy Agency (2018). World Energy Outlook 2018.

Population:
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
India,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,"Electricity emissions:
Climate Action Tracker Current Policy Projections

Electricity generation:
Climate Action Tracker Current Policy Projections"
India,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,"Electricity generation:
Climate Action Tracker Current Policy Projections"
India,Electricity,Renewable energy generation (index),Renewable energy generation (indexed to base year),1990 value normalised to 1,"Electricity generation:
Climate Action Tracker Current Policy Projections"
India,Transport: Road,Modal split,Modal split,% private cars and motorcycles,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap"
India,Transport: Road,Road transport emissions intensity,CO2 emission per vehicle kilometre,kg CO2 / vkm,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap"
India,Transport: Aviation,Aviation activity,Passenger flux per capita,pkm / cap,"Aviation travel activity
ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap

Population
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
India,Buildings,Buildings activity (residential),Residential building area per capita,m² / cap,"Residential building area:
International Energy Agency (2013). Transition to Sustainable Buildings. Table 2.5.1. Link: https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2013.pdf


Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
India,Buildings,Buildings activity (commercial),Commercial building area per capita,m² / cap,"Commercial building area:
International Energy Agency (2013). Transition to Sustainable Buildings. Table 2.5.1. Link: https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2013.pdf


Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision.
"
India,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"Emissions:
Climate Action Tracker Projections

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
India,Macro,Primary energy demand per capita,Primary energy demand per capita,GJ (primary) / cap,"Primary energy demand: 
International Energy Agency (2018). World Energy Outlook 2018.

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
India,Macro,Final energy demand per capita,Final energy demand per capita,GJ (final) / cap,"Final energy demand: 
International Energy Agency (2018). World Energy Outlook 2018.

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
India,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap, 
India,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Emissions:
Climate Action Tracker Current Policy Projections

GDP:
World Bank (2019). http://data.worldbank.org/indicator/NY.GDP.MKTP.KD

International Energy Agency (2018). World Energy Outlook 2018."
India,Macro,Primary energy intensity of GDP,Primary energy demand per GDP,TJ (primary) / mln. USD2012 (PPP),"Primary energy demand: 
International Energy Agency (2018). World Energy Outlook 2018.

GDP:
World Bank (2019). http://data.worldbank.org/indicator/NY.GDP.MKTP.KD

International Energy Agency (2018). World Energy Outlook 2018."
India,Macro,Final energy intensity of GDP,Final energy demand per GDP,TJ (final) / mln. USD2012 (PPP),"Final energy demand: 
International Energy Agency (2018). World Energy Outlook 2018.

GDP:
World Bank (2019). http://data.worldbank.org/indicator/NY.GDP.MKTP.KD

International Energy Agency (2018). World Energy Outlook 2018."
India,Macro,Emissions intensity of energy,Energy-related CO2 emissions per unit primary energy demand,tCO2 / TJ (primary),"Energy related CO2:
Climate Action Tracker Current Policy Projections

Primary energy demand: 
International Energy Agency (2018). World Energy Outlook 2018."
India,Macro,Fossil fuel share,Fossil fuels in primary energy demand,% fossil fuels,"Fossil fuels share:
International Energy Agency (2018). World Energy Outlook 2018."
India,Macro,Coal share,Coal in primary energy demand,% coal,"Coal share:
International Energy Agency (2018). World Energy Outlook 2018."
India,Macro,Total GHG emissions from Agriculture ,Total greenhouse gas emissions from agriculture,Mt CO2e ,Climate Action Tracker Current Policy Projections
India,Macro,Population,The total population of the country that we use for the calculating any indicators that are measured per capita. ,million people,"United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
Indonesia,Oil and Gas,Oil and Gas activity,Oil and Gas Production,Mtoe,"IEA WEO Special Energy Outlook for SE Asia 2013, Figure 3.2, https://www.iea.org/publications/freepublications/publication/SoutheastAsiaEnergyOutlook_WEO2013SpecialReport.pdf"
Indonesia,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"APERC,  APEC Energy Demand and Supply Outlook 6th Edition, 2016. http://aperc.ieej.or.jp/file/2016/5/10/APEC_Outlook6th_VolumeII_EconomyReviews.pdf, and data available via http://aperc.ieej.or.jp/publications/reports/outlook.php

United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
Indonesia,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,"APERC,  APEC Energy Demand and Supply Outlook 6th Edition, 2016. http://aperc.ieej.or.jp/file/2016/5/10/APEC_Outlook6th_VolumeII_EconomyReviews.pdf, and data available via http://aperc.ieej.or.jp/publications/reports/outlook.php

Climate Action Tracker, 2017.
http://climateactiontracker.org/countries/indonesia/2017.html"
Indonesia,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,"APERC,  APEC Energy Demand and Supply Outlook 6th Edition, 2016. http://aperc.ieej.or.jp/file/2016/5/10/APEC_Outlook6th_VolumeII_EconomyReviews.pdf, and data available via http://aperc.ieej.or.jp/publications/reports/outlook.php

Climate Action Tracker, 2017.
http://climateactiontracker.org/countries/indonesia/2017.html"
Indonesia,Electricity,Renewable energy generation (index),Renewable energy generation (indexed to base year),1990 value normalised to 1,"APERC,  APEC Energy Demand and Supply Outlook 6th Edition, 2016. http://aperc.ieej.or.jp/file/2016/5/10/APEC_Outlook6th_VolumeII_EconomyReviews.pdf, and data available via http://aperc.ieej.or.jp/publications/reports/outlook.php

Climate Action Tracker, 2017.
http://climateactiontracker.org/countries/indonesia/2017.html

IEA. (2016). Based on IEA data from Energy Statistics and Balances 2016 © OECD/IEA[2016], www.iea.org/statistics, Licence: www.iea.org/t&c; as modified by the Climate Action Tracker. "
Indonesia,Forestry,Forestry activity,Forest area (indexed to base year),ha of forest (indexed to 1990),"USDA Outlook to 2060 for World Forests and Forest Industries (2012), Table 7, Scenario A1B & A2, https://www.srs.fs.usda.gov/pubs/gtr/gtr_srs151.pdf"
Indonesia,Agriculture,Agriculture activity (meat): consumption,Meat calorie consumption per capita,meat kcal / cap / day,"OECD-FAO Agricultural Outlook 2017-2026, stats.oecd.org"
Indonesia,Agriculture,Agriculture activity (meat): production,Meat production per capita,meat kg / cap / day,"OECD-FAO Agricultural Outlook 2017-2026, stats.oecd.org"
Indonesia,Waste,Waste activity,Amount of waste per capita,t waste / cap,"World Bank (2012). What a Waste : A Global Review of Solid Waste Management. Annex J. Link: https://openknowledge.worldbank.org/handle/10986/17388

United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
Indonesia,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"Based on Climate Action Tracker (2017), Indonesia. http://climateactiontracker.org/countries/indonesia.html"
Indonesia,Macro,Primary energy demand per capita,Primary energy demand per capita,GJ (primary) / cap,"Based on Climate Action Tracker (2017), Indonesia. http://climateactiontracker.org/countries/indonesia.html"
Indonesia,Macro,Final energy demand per capita,Final energy demand per capita,GJ (final) / cap,"Based on Climate Action Tracker (2017), Indonesia. http://climateactiontracker.org/countries/indonesia.html"
Indonesia,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,"Based on Climate Action Tracker (2017), Indonesia. http://climateactiontracker.org/countries/indonesia.html"
Indonesia,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Based on Climate Action Tracker (2017), Indonesia. http://climateactiontracker.org/countries/indonesia.html"
Indonesia,Macro,Primary energy intensity of GDP,Primary energy demand per GDP,TJ (primary) / mln. USD2012 (PPP),"Based on Climate Action Tracker (2017), Indonesia. http://climateactiontracker.org/countries/indonesia.html"
Indonesia,Macro,Final energy intensity of GDP,Final energy demand per GDP,TJ (final) / mln. USD2012 (PPP),"Based on Climate Action Tracker (2017), Indonesia. http://climateactiontracker.org/countries/indonesia.html"
Indonesia,Macro,Emissions intensity of energy,Energy-related CO2 emissions per unit primary energy demand,tCO2 / TJ (primary),"Based on Climate Action Tracker (2017), Indonesia. http://climateactiontracker.org/countries/indonesia.html"
Indonesia,Macro,Fossil fuel share,Fossil fuels in primary energy demand,% fossil fuels,"APERC,  APEC Energy Demand and Supply Outlook 6th Edition, 2016. http://aperc.ieej.or.jp/file/2016/5/10/APEC_Outlook6th_VolumeII_EconomyReviews.pdf, and data available via http://aperc.ieej.or.jp/publications/reports/outlook.php"
Indonesia,Macro,Coal share,Coal in primary energy demand,% coal,"APERC,  APEC Energy Demand and Supply Outlook 6th Edition, 2016. http://aperc.ieej.or.jp/file/2016/5/10/APEC_Outlook6th_VolumeII_EconomyReviews.pdf, and data available via http://aperc.ieej.or.jp/publications/reports/outlook.php"
Japan,Industry: Cement,Cement activity,Amount of cement produced per capita,t product / cap,"EEC, 2012. “Shinario shousai deta (seichou kesu teiseichou kesu tsuika)” (Detailed scenario data (with high and low growth cases added)). Option document for the Energy and Environment Strategy. Energy and Environment Council, National Policy Unit, Cabinet Office. In Japanese. Available at: http://www.cas.go.jp/jp/seisaku/npu/policy09/sentakushi/database/shousai-data_shincho+seicho+teiseicho.xls [Accessed 4 January, 2017].

United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
Japan,Industry: Steel,Steel activity,Amount of steel produced per capita,t product / cap,"EEC, 2012. “Shinario shousai deta (seichou kesu teiseichou kesu tsuika)” (Detailed scenario data (with high and low growth cases added)). Option document for the Energy and Environment Strategy. Energy and Environment Council, National Policy Unit, Cabinet Office. In Japanese. Available at: http://www.cas.go.jp/jp/seisaku/npu/policy09/sentakushi/database/shousai-data_shincho+seicho+teiseicho.xls [Accessed 4 January, 2017].

United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
Japan,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"IEA, 2016. World Energy Outlook 2016. International Energy Agency, Paris, France. 

United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
Japan,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,CAT April 2017 update
Japan,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,CAT April 2017 update
Japan,Electricity,Renewable energy generation (index),Renewable energy generation (indexed to base year),1990 value normalised to 1,CAT April 2017 update
Japan,Transport: Road,Modal split,Modal split,% private cars and motorcycles,"ICCT, 2017. Global Transportation Energy and Climate Roadmap: 2017 update (Baseline case results), International Council on Clean Transportation: Washington DC, USA."
Japan,Transport: Road,Road transport emissions intensity,CO2 emission per vehicle kilometre,kg CO2 / vkm,"ICCT, 2017. Global Transportation Energy and Climate Roadmap: 2017 update (Baseline case results), International Council on Clean Transportation: Washington DC, USA."
Japan,Transport: Aviation,Aviation activity,Passenger flux per capita,pkm / cap,"ICCT, 2017. Global Transportation Energy and Climate Roadmap: 2017 update (Baseline case results), International Council on Clean Transportation: Washington DC, USA.

Population data (medium fertility projections) taken from: 
United Nations, 2017. World Population Prospects: The 2017 Revision. CD-ROM Edition, Population Division, Department of Economic and Social Affairs, United Nations: New York, NY, USA."
Japan,Buildings,Buildings activity (commercial),Commercial building area per capita,m² / cap,"EEC, 2012. “Shinario shousai deta (seichou kesu teiseichou kesu tsuika)” (Detailed scenario data (with high and low growth cases added)). Option document for the Energy and Environment Strategy. Energy and Environment Council, National Policy Unit, Cabinet Office. In Japanese. Available at: http://www.cas.go.jp/jp/seisaku/npu/policy09/sentakushi/database/shousai-data_shincho+seicho+teiseicho.xls [Accessed 4 January, 2017].

Population data (medium fertility projections) taken from: 
United Nations, 2017. World Population Prospects: The 2017 Revision. CD-ROM Edition, Population Division, Department of Economic and Social Affairs, United Nations: New York, NY, USA."
Japan,Forestry,Forestry activity,Forest area (indexed to base year),ha of forest (indexed to 1990),"USDA Outlook to 2060 for World Forests and Forest Industries (2012), Table 7, Scenario A1B & A2, http://labs.russell.wisc.edu/buongiorno/files/2012/09/GlobalForestryOutlook2060.pdf"
Japan,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,CAT April 2017 update
Japan,Macro,Primary energy demand per capita,Primary energy demand per capita,GJ (primary) / cap,CAT April 2017 update
Japan,Macro,Final energy demand per capita,Final energy demand per capita,GJ (final) / cap,CAT April 2017 update
Japan,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,CAT April 2017 update
Japan,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),CAT April 2017 update
Japan,Macro,Primary energy intensity of GDP,Primary energy demand per GDP,TJ (primary) / mln. USD2012 (PPP),CAT April 2017 update
Japan,Macro,Final energy intensity of GDP,Final energy demand per GDP,TJ (final) / mln. USD2012 (PPP),CAT April 2017 update
Japan,Macro,Emissions intensity of energy,Energy-related CO2 emissions per unit primary energy demand,tCO2 / TJ (primary),CAT April 2017 update
Japan,Macro,Fossil fuel share,Fossil fuels in primary energy demand,% fossil fuels,CAT April 2017 update
Japan,Macro,Coal share,Coal in primary energy demand,% coal,CAT April 2017 update
Kazakhstan,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision.

Ministry of Energy of the Republic of Kazakhstan (2017). Seventh National Communication and the third biennial report of the Republic of Kazakhstan to the UN framework convention on climate change."
Kazakhstan,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,"Ministry of Energy of the Republic of Kazakhstan (2017). Seventh National Communication and the third biennial report of the Republic of Kazakhstan to the UN framework convention on climate change.

World Bank (2017). http://data.worldbank.org/indicator/NY.GDP.MKTP.KD"
Kazakhstan,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Ministry of Energy of the Republic of Kazakhstan (2017). Seventh National Communication and the third biennial report of the Republic of Kazakhstan to the UN framework convention on climate change.

World Bank (2017). http://data.worldbank.org/indicator/NY.GDP.MKTP.KD"
Mexico,Oil and Gas,Oil and Gas activity,Oil and Gas Production,Mtoe,"Natural Gas: 
SENER (2017). Prospectiva de Gas Natural 2017-2031. https://www.gob.mx/cms/uploads/attachment/file/286233/Prospectiva_de_Gas_Natural_2017.pdf

Crude Oil: 
SENER (2017). Prospectiva de Petroleo Crudo y Petroliferos 2017-2031. https://www.gob.mx/cms/uploads/attachment/file/287131/PPP_17__F.pdf

LPG: 
SENER (2017). Prospectiva de Gas L.P. 2017-2031. https://www.gob.mx/cms/uploads/attachment/file/286235/Prospectiva_de_Gas_LP_2017.pdf"
Mexico,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"Electricity: 
SENER (2017). Prospectiva del Sector Electrico 2017-2031. Table 3.3. Page 75 (Electricity demand), . Link: https://www.gob.mx/cms/uploads/attachment/file/284345/Prospectiva_del_Sector_El_ctrico_2017.pdf

Population: 
SENER (2017). Prospectiva de Energias Renovables 2017-2031. Figure 2.7. Page 32 (Population). Link: https://www.gob.mx/cms/uploads/attachment/file/284342/Prospectiva_de_Energ_as_Renovables_2017.pdf

United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
Mexico,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,SENER (2017). Programa de desarrollo del sistema electrico nacional PRODESEN 2017-2031. http://base.energia.gob.mx/prodesen/PRODESEN2017/PRODESEN-2017-2031.pdf
Mexico,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,SENER (2017). Prospectiva del Sector Electrico 2017-2031. (for 2020-2030). Table 3.6 Page 88. Link: https://www.gob.mx/cms/uploads/attachment/file/284342/Prospectiva_de_Energ_as_Renovables_2017.pdf
Mexico,Electricity,Renewable energy generation (index),Renewable energy generation (indexed to base year),1990 value normalised to 1,"SENER (2017). Prospectiva del Sector Electrico 2017-2031. (for 2020-2030). Table 3.6 Page 88. Link: https://www.gob.mx/cms/uploads/attachment/file/284342/Prospectiva_de_Energ_as_Renovables_2017.pdf

IEA. (2017). Based on IEA data from Energy Statistics and Balances 2016 © OECD/IEA[2017], www.iea.org/statistics, Licence: www.iea.org/t&c; as modified by the Climate Action Tracker. "
Mexico,Transport: Road,Modal split,Modal split,% private cars and motorcycles,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap"
Mexico,Transport: Road,Road transport emissions intensity,CO2 emission per vehicle kilometre,kg CO2 / vkm,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap"
Mexico,Transport: Aviation,Aviation activity,Passenger flux per capita,pkm / cap,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap"
